project,datetime_UTC,datetime_local,siteId,rType,appr1,appr2,appr3,appr4,rep,sublocation,Temp_EXO_C,ODOSat,ODO_mg_L,SpCond_uS_cm,Conductivity_uS_cm,FDOM_QSU_Raw,FDOM_QSU_Temp,FDOM_QSU_TempTurb,Turbidity_NTU,flag_Temp_EXO_C,flag_ODOSat,flag_ODO_mg_L,flag_SpCond_uS_cm,flag_Conductivity_uS_cm,flag_FDOM_QSU,flag_FDOM_QSU_Temp,flag_FDOM_QSU_TempTurb,flag_Turbidity_NTU
AIMS,2022-03-29 03:15:00,2022-03-28 21:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.12,95,12.09,115,NA,61.29,56.16542654,59.55117869,12.89,,,,,M,,,,
AIMS,2022-03-29 03:30:00,2022-03-28 21:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.13,95,12.09,114,NA,61.09,55.98450353,59.47873603,13.34,,,,,M,,,,
AIMS,2022-03-29 03:45:00,2022-03-28 21:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.06,94.9,12.1,114,NA,60.71,55.61988577,59.41342746,14.56,,,,,M,,,,
AIMS,2022-03-29 04:00:00,2022-03-28 22:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.12,95.1,12.1,114,NA,60.4,55.34984113,59.45937307,15.83,,,,,M,,,,
AIMS,2022-03-29 04:15:00,2022-03-28 22:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.11,95.1,12.1,114,NA,60.38,55.32918631,59.4108349,15.73,,,,,M,,,,
AIMS,2022-03-29 04:30:00,2022-03-28 22:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.04,94.9,12.11,114,NA,60.34,55.27625924,59.45406239,16.11,,,,,M,,,,
AIMS,2022-03-29 04:45:00,2022-03-28 22:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.09,95,12.1,114,NA,60.28,55.23290555,59.62868626,16.95,,,,,M,,,,
AIMS,2022-03-29 05:00:00,2022-03-28 23:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.05,94.9,12.1,113,NA,60.06,55.02207023,59.22786412,16.29,,,,,M,,,,
AIMS,2022-03-29 05:15:00,2022-03-28 23:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.06,95,12.11,113,NA,60.29,55.23509987,59.53882148,16.6,,,,,M,,,,
AIMS,2022-03-29 05:30:00,2022-03-28 23:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5.04,95,12.12,113,NA,60.45,55.37702802,60.04085841,17.92,,,,,M,,,,
AIMS,2022-03-29 05:45:00,2022-03-28 23:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,5,95,12.13,113,NA,60.4,55.32192018,60.18489795,18.69,,,,,M,,,,
AIMS,2022-03-29 06:00:00,2022-03-29 00:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.99,95,12.14,113,NA,60.64,55.53939852,60.298808640000004,18.23,,,,,M,,,,
AIMS,2022-03-29 06:15:00,2022-03-29 00:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.98,95,12.14,113,NA,60.88,55.75687686,60.41271933,17.77,,,,,M,,,,
AIMS,2022-03-29 06:30:00,2022-03-29 00:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.91,95,12.16,113,NA,60.98,55.83203402,60.79331829,18.89,,,,,M,,,,
AIMS,2022-03-29 06:45:00,2022-03-29 00:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.86,95,12.18,113,NA,61.38,56.18646068,60.93726525,17.99,,,,,M,,,,
AIMS,2022-03-29 07:00:00,2022-03-29 01:00:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.85,95,12.18,113,NA,61.55,56.33970953,61.07653638,17.89,,,,,M,,,,
AIMS,2022-03-29 07:15:00,2022-03-29 01:15:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.79,95.1,12.2,113,NA,61.7,56.46277961,61.35037682,18.41,,,,,M,,,,
AIMS,2022-03-29 07:30:00,2022-03-29 01:30:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.73,95.1,12.22,114,NA,61.88,56.61323431,61.47051932,18.25,,,,,M,,,,
AIMS,2022-03-29 07:45:00,2022-03-29 01:45:00,GSS01,EXOS,1,0,0,0,20220328-20220722,SW,4.67,95.2,12.25,114,NA,62.27,56.95569119,61.90503446,18.48,,,,,M,,,,
